Origen,Destino,Aerolinea,ruta,n_train
EZE,ROS,AEROLINEAS ARGENTINAS SA,EZE|ROS|AEROLINEAS ARGENTINAS SA,222
EZE,SAL,AEROLINEAS ARGENTINAS SA,EZE|SAL|AEROLINEAS ARGENTINAS SA,1103
EZE,SAL,FB LÍNEAS AÉREAS - FLYBONDI,EZE|SAL|FB LÍNEAS AÉREAS - FLYBONDI,407
EZE,SAL,JETSMART AIRLINES S.A.,EZE|SAL|JETSMART AIRLINES S.A.,241
EZE,SDE,AEROLINEAS ARGENTINAS SA,EZE|SDE|AEROLINEAS ARGENTINAS SA,85
EZE,SDE,FB LÍNEAS AÉREAS - FLYBONDI,EZE|SDE|FB LÍNEAS AÉREAS - FLYBONDI,10
EZE,SIS,AEROLINEAS ARGENTINAS SA,EZE|SIS|AEROLINEAS ARGENTINAS SA,235
EZE,SIS,JETSMART AIRLINES S.A.,EZE|SIS|JETSMART AIRLINES S.A.,1
EZE,SRA,AEROLINEAS ARGENTINAS SA,EZE|SRA|AEROLINEAS ARGENTINAS SA,36
EZE,SVO,AEROLINEAS ARGENTINAS SA,EZE|SVO|AEROLINEAS ARGENTINAS SA,19
EZE,TRC,AEROLINEAS ARGENTINAS SA,EZE|TRC|AEROLINEAS ARGENTINAS SA,14
EZE,TRE,JETSMART AIRLINES S.A.,EZE|TRE|JETSMART AIRLINES S.A.,1
EZE,TRH,AEROLINEAS ARGENTINAS SA,EZE|TRH|AEROLINEAS ARGENTINAS SA,5
EZE,TUC,AEROLINEAS ARGENTINAS SA,EZE|TUC|AEROLINEAS ARGENTINAS SA,1106
EZE,TUC,FB LÍNEAS AÉREAS - FLYBONDI,EZE|TUC|FB LÍNEAS AÉREAS - FLYBONDI,89
EZE,TUC,JETSMART AIRLINES S.A.,EZE|TUC|JETSMART AIRLINES S.A.,153
EZE,UIS,AEROLINEAS ARGENTINAS SA,EZE|UIS|AEROLINEAS ARGENTINAS SA,34
EZE,USU,AEROLINEAS ARGENTINAS SA,EZE|USU|AEROLINEAS ARGENTINAS SA,2621
EZE,USU,JETSMART AIRLINES S.A.,EZE|USU|JETSMART AIRLINES S.A.,387
EZE,VIE,AEROLINEAS ARGENTINAS SA,EZE|VIE|AEROLINEAS ARGENTINAS SA,8
FSA,AER,AEROLINEAS ARGENTINAS SA,FSA|AER|AEROLINEAS ARGENTINAS SA,1272
FSA,EZE,AEROLINEAS ARGENTINAS SA,FSA|EZE|AEROLINEAS ARGENTINAS SA,40
GAL,AER,AEROLINEAS ARGENTINAS SA,GAL|AER|AEROLINEAS ARGENTINAS SA,1608
GAL,AER,FB LÍNEAS AÉREAS - FLYBONDI,GAL|AER|FB LÍNEAS AÉREAS - FLYBONDI,1
GAL,CRV,AEROLINEAS ARGENTINAS SA,GAL|CRV|AEROLINEAS ARGENTINAS SA,179
GAL,ECA,AEROLINEAS ARGENTINAS SA,GAL|ECA|AEROLINEAS ARGENTINAS SA,3
